fips,state,name,pop2017
1001,Alabama,Autauga County,55504
1003,Alabama,Baldwin County,212628
1005,Alabama,Barbour County,25270
1007,Alabama,Bibb County,22668
1009,Alabama,Blount County,58013
1011,Alabama,Bullock County,10309
1013,Alabama,Butler County,19825
1015,Alabama,Calhoun County,114728
1017,Alabama,Chambers County,33713
1019,Alabama,Cherokee County,25857
1021,Alabama,Chilton County,44067
1023,Alabama,Choctaw County,12945
1025,Alabama,Clarke County,24083
1027,Alabama,Clay County,13367
1029,Alabama,Cleburne County,14900
1031,Alabama,Coffee County,51874
1033,Alabama,Colbert County,54500
1035,Alabama,Conecuh County,12469
1037,Alabama,Coosa County,10754
1039,Alabama,Covington County,37092
1041,Alabama,Crenshaw County,13871
1043,Alabama,Cullman County,82755
1045,Alabama,Dale County,49226
1047,Alabama,Dallas County,39215
1049,Alabama,DeKalb County,71617
1051,Alabama,Elmore County,81677
1053,Alabama,Escambia County,37447
1055,Alabama,Etowah County,102755
1057,Alabama,Fayette County,16468
1059,Alabama,Franklin County,31495
1061,Alabama,Geneva County,26421
1063,Alabama,Greene County,8330
1065,Alabama,Hale County,14812
1067,Alabama,Henry County,17147
1069,Alabama,Houston County,104346
1071,Alabama,Jackson County,51909
1073,Alabama,Jefferson County,659197
1075,Alabama,Lamar County,13946
1077,Alabama,Lauderdale County,92538
1079,Alabama,Lawrence County,33049
1081,Alabama,Lee County,161604
1083,Alabama,Limestone County,94402
1085,Alabama,Lowndes County,10076
1087,Alabama,Macon County,18755
1089,Alabama,Madison County,361046
1091,Alabama,Marengo County,19375
1093,Alabama,Marion County,29833
1095,Alabama,Marshall County,95548
1097,Alabama,Mobile County,413955
1099,Alabama,Monroe County,21327
1101,Alabama,Montgomery County,226646
1103,Alabama,Morgan County,118818
1105,Alabama,Perry County,9339
1107,Alabama,Pickens County,20176
1109,Alabama,Pike County,33267
1111,Alabama,Randolph County,22670
1113,Alabama,Russell County,57045
1115,Alabama,St. Clair County,88199
1117,Alabama,Shelby County,213605
1119,Alabama,Sumter County,12687
1121,Alabama,Talladega County,80065
1123,Alabama,Tallapoosa County,40681
1125,Alabama,Tuscaloosa County,207811
1127,Alabama,Walker County,64058
1129,Alabama,Washington County,16531
1131,Alabama,Wilcox County,10719
1133,Alabama,Winston County,23722
2013,Alaska,Aleutians East Borough,3370
2016,Alaska,Aleutians West Census Area,5763
2020,Alaska,Anchorage Municipality,294356
2050,Alaska,Bethel Census Area,18076
2060,Alaska,Bristol Bay Borough,867
2068,Alaska,Denali Borough,2074
2070,Alaska,Dillingham Census Area,4932
2090,Alaska,Fairbanks North Star Borough,99703
2100,Alaska,Haines Borough,2526
2105,Alaska,Hoonah Angoon Census Area,NA
2110,Alaska,Juneau City and Borough,32094
2122,Alaska,Kenai Peninsula Borough,58617
2130,Alaska,Ketchikan Gateway Borough,13856
2150,Alaska,Kodiak Island Borough,13448
2158,Alaska,Kusilvak Census Area,8202
2164,Alaska,Lake and Peninsula Borough,1620
2170,Alaska,Matanuska-Susitna Borough,106532
2180,Alaska,Nome Census Area,9921
2185,Alaska,North Slope Borough,9782
2188,Alaska,Northwest Arctic Borough,7684
2195,Alaska,Petersburg Borough,3281
2198,Alaska,Prince of Wales-Hyder Census Area,6443
2220,Alaska,Sitka City and Borough,8689
2230,Alaska,Skagway,NA
2240,Alaska,Southeast Fairbanks Census Area,6888
2261,Alaska,Valdez-Cordova Census Area,9278
2275,Alaska,Wrangell,NA
2282,Alaska,Yakutat City and Borough,605
2290,Alaska,Yukon-Koyukuk Census Area,5365
4001,Arizona,Apache County,71606
4003,Arizona,Cochise County,124756
4005,Arizona,Coconino County,140776
4007,Arizona,Gila County,53501
4009,Arizona,Graham County,37466
4011,Arizona,Greenlee County,9455
4012,Arizona,La Paz County,20601
4013,Arizona,Maricopa County,4307033
4015,Arizona,Mohave County,207200
4017,Arizona,Navajo County,108956
4019,Arizona,Pima County,1022769
4021,Arizona,Pinal County,430237
4023,Arizona,Santa Cruz County,46212
4025,Arizona,Yavapai County,228168
4027,Arizona,Yuma County,207534
5001,Arkansas,Arkansas County,17967
5003,Arkansas,Ashley County,20283
5005,Arkansas,Baxter County,41355
5007,Arkansas,Benton County,266300
5009,Arkansas,Boone County,37381
5011,Arkansas,Bradley County,10864
5013,Arkansas,Calhoun County,5247
5015,Arkansas,Carroll County,27944
5017,Arkansas,Chicot County,10636
5019,Arkansas,Clark County,22293
5021,Arkansas,Clay County,14920
5023,Arkansas,Cleburne County,25048
5025,Arkansas,Cleveland County,8202
5027,Arkansas,Columbia County,23627
5029,Arkansas,Conway County,20916
5031,Arkansas,Craighead County,107115
5033,Arkansas,Crawford County,62996
5035,Arkansas,Crittenden County,48750
5037,Arkansas,Cross County,16863
5039,Arkansas,Dallas County,7393
5041,Arkansas,Desha County,11764
5043,Arkansas,Drew County,18547
5045,Arkansas,Faulkner County,123654
5047,Arkansas,Franklin County,17890
5049,Arkansas,Fulton County,12055
5051,Arkansas,Garland County,98658
5053,Arkansas,Grant County,18165
5055,Arkansas,Greene County,45053
5057,Arkansas,Hempstead County,21861
5059,Arkansas,Hot Spring County,33574
5061,Arkansas,Howard County,13478
5063,Arkansas,Independence County,37504
5065,Arkansas,Izard County,13686
5067,Arkansas,Jackson County,17135
5069,Arkansas,Jefferson County,69115
5071,Arkansas,Johnson County,26552
5073,Arkansas,Lafayette County,6862
5075,Arkansas,Lawrence County,16525
5077,Arkansas,Lee County,9176
5079,Arkansas,Lincoln County,13646
5081,Arkansas,Little River County,12359
5083,Arkansas,Logan County,21722
5085,Arkansas,Lonoke County,72898
5087,Arkansas,Madison County,16339
5089,Arkansas,Marion County,16428
5091,Arkansas,Miller County,43984
5093,Arkansas,Mississippi County,42159
5095,Arkansas,Monroe County,7085
5097,Arkansas,Montgomery County,8919
5099,Arkansas,Nevada County,8327
5101,Arkansas,Newton County,7828
5103,Arkansas,Ouachita County,23868
5105,Arkansas,Perry County,10348
5107,Arkansas,Phillips County,18572
5109,Arkansas,Pike County,10726
5111,Arkansas,Poinsett County,24154
5113,Arkansas,Polk County,20118
5115,Arkansas,Pope County,63835
5117,Arkansas,Prairie County,8248
5119,Arkansas,Pulaski County,393956
5121,Arkansas,Randolph County,17557
5123,Arkansas,St. Francis County,25930
5125,Arkansas,Saline County,119323
5127,Arkansas,Scott County,10445
5129,Arkansas,Searcy County,7938
5131,Arkansas,Sebastian County,128107
5133,Arkansas,Sevier County,17115
5135,Arkansas,Sharp County,17393
5137,Arkansas,Stone County,12537
5139,Arkansas,Union County,39449
5141,Arkansas,Van Buren County,16506
5143,Arkansas,Washington County,231996
5145,Arkansas,White County,79016
5147,Arkansas,Woodruff County,6571
5149,Arkansas,Yell County,21523
6001,California,Alameda County,1663190
6003,California,Alpine County,1120
6005,California,Amador County,38626
6007,California,Butte County,229294
6009,California,Calaveras County,45670
6011,California,Colusa County,21805
6013,California,Contra Costa County,1147439
6015,California,Del Norte County,27470
6017,California,El Dorado County,188987
6019,California,Fresno County,989255
6021,California,Glenn County,28094
6023,California,Humboldt County,136754
6025,California,Imperial County,182830
6027,California,Inyo County,18026
6029,California,Kern County,893119
6031,California,Kings County,150101
6033,California,Lake County,64246
6035,California,Lassen County,31163
6037,California,Los Angeles County,10163507
6039,California,Madera County,156890
6041,California,Marin County,260955
6043,California,Mariposa County,17569
6045,California,Mendocino County,88018
6047,California,Merced County,272673
6049,California,Modoc County,8859
6051,California,Mono County,14168
6053,California,Monterey County,437907
6055,California,Napa County,140973
6057,California,Nevada County,99814
6059,California,Orange County,3190400
6061,California,Placer County,386166
6063,California,Plumas County,18742
6065,California,Riverside County,2423266
6067,California,Sacramento County,1530615
6069,California,San Benito County,60310
6071,California,San Bernardino County,2157404
6073,California,San Diego County,3337685
6075,California,San Francisco County,884363
6077,California,San Joaquin County,745424
6079,California,San Luis Obispo County,283405
6081,California,San Mateo County,771410
6083,California,Santa Barbara County,448150
6085,California,Santa Clara County,1938153
6087,California,Santa Cruz County,275897
6089,California,Shasta County,179921
6091,California,Sierra County,2999
6093,California,Siskiyou County,43853
6095,California,Solano County,445458
6097,California,Sonoma County,504217
6099,California,Stanislaus County,547899
6101,California,Sutter County,96648
6103,California,Tehama County,63926
6105,California,Trinity County,12709
6107,California,Tulare County,464493
6109,California,Tuolumne County,54248
6111,California,Ventura County,854223
6113,California,Yolo County,219116
6115,California,Yuba County,77031
8001,Colorado,Adams County,503167
8003,Colorado,Alamosa County,16551
8005,Colorado,Arapahoe County,643052
8007,Colorado,Archuleta County,13315
8009,Colorado,Baca County,3562
8011,Colorado,Bent County,5938
8013,Colorado,Boulder County,322514
8014,Colorado,Broomfield County,68341
8015,Colorado,Chaffee County,19638
8017,Colorado,Cheyenne County,1845
8019,Colorado,Clear Creek County,9574
8021,Colorado,Conejos County,8184
8023,Colorado,Costilla County,3776
8025,Colorado,Crowley County,5810
8027,Colorado,Custer County,4874
8029,Colorado,Delta County,30568
8031,Colorado,Denver County,704621
8033,Colorado,Dolores County,2067
8035,Colorado,Douglas County,335299
8037,Colorado,Eagle County,54772
8039,Colorado,Elbert County,25642
8041,Colorado,El Paso County,699232
8043,Colorado,Fremont County,47559
8045,Colorado,Garfield County,59118
8047,Colorado,Gilpin County,6013
8049,Colorado,Grand County,15321
8051,Colorado,Gunnison County,16939
8053,Colorado,Hinsdale County,794
8055,Colorado,Huerfano County,6662
8057,Colorado,Jackson County,1385
8059,Colorado,Jefferson County,574613
8061,Colorado,Kiowa County,1376
8063,Colorado,Kit Carson County,7158
8065,Colorado,Lake County,7778
8067,Colorado,La Plata County,55589
8069,Colorado,Larimer County,343976
8071,Colorado,Las Animas County,14238
8073,Colorado,Lincoln County,5546
8075,Colorado,Logan County,21896
8077,Colorado,Mesa County,151616
8079,Colorado,Mineral County,766
8081,Colorado,Moffat County,13131
8083,Colorado,Montezuma County,26140
8085,Colorado,Montrose County,41784
8087,Colorado,Morgan County,28192
8089,Colorado,Otero County,18326
8091,Colorado,Ouray County,4794
8093,Colorado,Park County,17905
8095,Colorado,Phillips County,4292
8097,Colorado,Pitkin County,17890
8099,Colorado,Prowers County,12070
8101,Colorado,Pueblo County,166475
8103,Colorado,Rio Blanco County,6420
8105,Colorado,Rio Grande County,11301
8107,Colorado,Routt County,25220
8109,Colorado,Saguache County,6626
8111,Colorado,San Juan County,715
8113,Colorado,San Miguel County,7967
8115,Colorado,Sedgwick County,2344
8117,Colorado,Summit County,30585
8119,Colorado,Teller County,24646
8121,Colorado,Washington County,4938
8123,Colorado,Weld County,304633
8125,Colorado,Yuma County,10075
9001,Connecticut,Fairfield County,949921
9003,Connecticut,Hartford County,895388
9005,Connecticut,Litchfield County,182177
9007,Connecticut,Middlesex County,163410
9009,Connecticut,New Haven County,860435
9011,Connecticut,New London County,269033
9013,Connecticut,Tolland County,151461
9015,Connecticut,Windham County,116359
10001,Delaware,Kent County,176824
10003,Delaware,New Castle County,559793
10005,Delaware,Sussex County,225322
11001,District of Columbia,District of Columbia,693972
12001,Florida,Alachua County,266944
12003,Florida,Baker County,28283
12005,Florida,Bay County,183563
12007,Florida,Bradford County,27038
12009,Florida,Brevard County,589162
12011,Florida,Broward County,1935878
12013,Florida,Calhoun County,14483
12015,Florida,Charlotte County,182033
12017,Florida,Citrus County,145647
12019,Florida,Clay County,212230
12021,Florida,Collier County,372880
12023,Florida,Columbia County,69612
12027,Florida,DeSoto County,36862
12029,Florida,Dixie County,16673
12031,Florida,Duval County,937934
12033,Florida,Escambia County,313512
12035,Florida,Flagler County,110510
12037,Florida,Franklin County,11727
12039,Florida,Gadsden County,46071
12041,Florida,Gilchrist County,17743
12043,Florida,Glades County,13754
12045,Florida,Gulf County,16160
12047,Florida,Hamilton County,14184
12049,Florida,Hardee County,27411
12051,Florida,Hendry County,40347
12053,Florida,Hernando County,186553
12055,Florida,Highlands County,102883
12057,Florida,Hillsborough County,1408566
12059,Florida,Holmes County,19558
12061,Florida,Indian River County,154383
12063,Florida,Jackson County,48330
12065,Florida,Jefferson County,14144
12067,Florida,Lafayette County,8451
12069,Florida,Lake County,346017
12071,Florida,Lee County,739224
12073,Florida,Leon County,290292
12075,Florida,Levy County,40355
12077,Florida,Liberty County,8242
12079,Florida,Madison County,18449
12081,Florida,Manatee County,385571
12083,Florida,Marion County,354353
12085,Florida,Martin County,159923
12086,Florida,Miami-Dade County,2751796
12087,Florida,Monroe County,77013
12089,Florida,Nassau County,82721
12091,Florida,Okaloosa County,202970
12093,Florida,Okeechobee County,41605
12095,Florida,Orange County,1348975
12097,Florida,Osceola County,352180
12099,Florida,Palm Beach County,1471150
12101,Florida,Pasco County,525643
12103,Florida,Pinellas County,970637
12105,Florida,Polk County,686483
12107,Florida,Putnam County,73464
12109,Florida,St. Johns County,243812
12111,Florida,St. Lucie County,313506
12113,Florida,Santa Rosa County,174272
12115,Florida,Sarasota County,419119
12117,Florida,Seminole County,462659
12119,Florida,Sumter County,125165
12121,Florida,Suwannee County,44190
12123,Florida,Taylor County,21833
12125,Florida,Union County,15517
12127,Florida,Volusia County,538692
12129,Florida,Wakulla County,32120
12131,Florida,Walton County,68376
12133,Florida,Washington County,24567
13001,Georgia,Appling County,18521
13003,Georgia,Atkinson County,8342
13005,Georgia,Bacon County,11319
13007,Georgia,Baker County,3200
13009,Georgia,Baldwin County,44906
13011,Georgia,Banks County,18634
13013,Georgia,Barrow County,79061
13015,Georgia,Bartow County,105054
13017,Georgia,Ben Hill County,16996
13019,Georgia,Berrien County,19186
13021,Georgia,Bibb County,152862
13023,Georgia,Bleckley County,12830
13025,Georgia,Brantley County,18731
13027,Georgia,Brooks County,15587
13029,Georgia,Bryan County,37060
13031,Georgia,Bulloch County,76149
13033,Georgia,Burke County,22522
13035,Georgia,Butts County,24059
13037,Georgia,Calhoun County,6455
13039,Georgia,Camden County,53044
13043,Georgia,Candler County,10797
13045,Georgia,Carroll County,117812
13047,Georgia,Catoosa County,66550
13049,Georgia,Charlton County,12715
13051,Georgia,Chatham County,290501
13053,Georgia,Chattahoochee County,10343
13055,Georgia,Chattooga County,24770
13057,Georgia,Cherokee County,247573
13059,Georgia,Clarke County,127064
13061,Georgia,Clay County,2962
13063,Georgia,Clayton County,285153
13065,Georgia,Clinch County,6727
13067,Georgia,Cobb County,755754
13069,Georgia,Coffee County,43014
13071,Georgia,Colquitt County,45835
13073,Georgia,Columbia County,151579
13075,Georgia,Cook County,17277
13077,Georgia,Coweta County,143114
13079,Georgia,Crawford County,12295
13081,Georgia,Crisp County,22736
13083,Georgia,Dade County,16285
13085,Georgia,Dawson County,24379
13087,Georgia,Decatur County,26716
13089,Georgia,DeKalb County,753253
13091,Georgia,Dodge County,20730
13093,Georgia,Dooly County,13737
13095,Georgia,Dougherty County,89502
13097,Georgia,Douglas County,143882
13099,Georgia,Early County,10296
13101,Georgia,Echols County,3936
13103,Georgia,Effingham County,59982
13105,Georgia,Elbert County,19109
13107,Georgia,Emanuel County,22530
13109,Georgia,Evans County,10775
13111,Georgia,Fannin County,25322
13113,Georgia,Fayette County,112549
13115,Georgia,Floyd County,97613
13117,Georgia,Forsyth County,227967
13119,Georgia,Franklin County,22820
13121,Georgia,Fulton County,1041423
13123,Georgia,Gilmer County,30674
13125,Georgia,Glascock County,3062
13127,Georgia,Glynn County,85282
13129,Georgia,Gordon County,57089
13131,Georgia,Grady County,24819
13133,Georgia,Greene County,17281
13135,Georgia,Gwinnett County,920260
13137,Georgia,Habersham County,44567
13139,Georgia,Hall County,199335
13141,Georgia,Hancock County,8561
13143,Georgia,Haralson County,29256
13145,Georgia,Harris County,33915
13147,Georgia,Hart County,25794
13149,Georgia,Heard County,11730
13151,Georgia,Henry County,225813
13153,Georgia,Houston County,153479
13155,Georgia,Irwin County,9410
13157,Georgia,Jackson County,67519
13159,Georgia,Jasper County,13964
13161,Georgia,Jeff Davis County,15025
13163,Georgia,Jefferson County,15648
13165,Georgia,Jenkins County,8767
13167,Georgia,Johnson County,9788
13169,Georgia,Jones County,28470
13171,Georgia,Lamar County,18599
13173,Georgia,Lanier County,10425
13175,Georgia,Laurens County,47330
13177,Georgia,Lee County,29470
13179,Georgia,Liberty County,61386
13181,Georgia,Lincoln County,7880
13183,Georgia,Long County,19014
13185,Georgia,Lowndes County,115489
13187,Georgia,Lumpkin County,32873
13189,Georgia,McDuffie County,21498
13191,Georgia,McIntosh County,14106
13193,Georgia,Macon County,13314
13195,Georgia,Madison County,29302
13197,Georgia,Marion County,8450
13199,Georgia,Meriwether County,21049
13201,Georgia,Miller County,5838
13205,Georgia,Mitchell County,22292
13207,Georgia,Monroe County,27113
13209,Georgia,Montgomery County,9031
13211,Georgia,Morgan County,18412
13213,Georgia,Murray County,39782
13215,Georgia,Muscogee County,194058
13217,Georgia,Newton County,108078
13219,Georgia,Oconee County,38028
13221,Georgia,Oglethorpe County,14877
13223,Georgia,Paulding County,159445
13225,Georgia,Peach County,27099
13227,Georgia,Pickens County,31588
13229,Georgia,Pierce County,19307
13231,Georgia,Pike County,18217
13233,Georgia,Polk County,42085
13235,Georgia,Pulaski County,11201
13237,Georgia,Putnam County,21730
13239,Georgia,Quitman County,2358
13241,Georgia,Rabun County,16602
13243,Georgia,Randolph County,7075
13245,Georgia,Richmond County,201800
13247,Georgia,Rockdale County,90312
13249,Georgia,Schley County,5213
13251,Georgia,Screven County,13953
13253,Georgia,Seminole County,8292
13255,Georgia,Spalding County,65380
13257,Georgia,Stephens County,25890
13259,Georgia,Stewart County,5985
13261,Georgia,Sumter County,29847
13263,Georgia,Talbot County,6249
13265,Georgia,Taliaferro County,1628
13267,Georgia,Tattnall County,25334
13269,Georgia,Taylor County,8142
13271,Georgia,Telfair County,15989
13273,Georgia,Terrell County,8729
13275,Georgia,Thomas County,44779
13277,Georgia,Tift County,40598
13279,Georgia,Toombs County,26999
13281,Georgia,Towns County,11506
13283,Georgia,Treutlen County,6740
13285,Georgia,Troup County,69786
13287,Georgia,Turner County,7961
13289,Georgia,Twiggs County,8174
13291,Georgia,Union County,23459
13293,Georgia,Upson County,26135
13295,Georgia,Walker County,68939
13297,Georgia,Walton County,91600
13299,Georgia,Ware County,35871
13301,Georgia,Warren County,5303
13303,Georgia,Washington County,20313
13305,Georgia,Wayne County,29817
13307,Georgia,Webster County,2605
13309,Georgia,Wheeler County,7952
13311,Georgia,White County,29453
13313,Georgia,Whitfield County,104658
13315,Georgia,Wilcox County,8800
13317,Georgia,Wilkes County,9892
13319,Georgia,Wilkinson County,8959
13321,Georgia,Worth County,20533
15001,Hawaii,Hawaii County,200381
15003,Hawaii,Honolulu County,988650
15005,Hawaii,Kalawao County,88
15007,Hawaii,Kauai County,72159
15009,Hawaii,Maui County,166260
16001,Idaho,Ada County,456849
