,date,geoid,county_nam,state_name,population,min,max,mean,count
0,2020-5,21007,Ballard,Kentucky,8039,14624.466666666667,14833.5,14746.84563214563,9
1,2020-5,17187,Warren,Illinois,17167,14812.0,15094.777777777777,14974.594062049064,20
2,2020-5,20073,Greenwood,Kansas,6123,14886.333333333334,15034.2,14966.893052123316,38
3,2020-5,21017,Bourbon,Kentucky,20029,14872.666666666666,14934.538461538461,14899.620077838827,8
4,2020-5,21031,Butler,Kentucky,12831,14740.8,14891.0,14825.902972668355,13
5,2020-5,26119,Montmorency,Michigan,9250,14522.736842105263,14744.117647058823,14649.06864314585,20
6,2020-5,21065,Estill,Kentucky,14277,14773.538461538461,14862.666666666666,14808.305860805862,7
7,2020-5,21069,Fleming,Kentucky,14446,14750.92857142857,14905.333333333334,14828.16958193322,11
8,2020-5,20095,Kingman,Kansas,7360,15013.642857142857,15117.666666666666,15052.701479149353,28
9,2020-5,21093,Hardin,Kentucky,108071,14738.866666666667,14985.692307692309,14846.722087133221,21
10,2020-5,21099,Hart,Kentucky,18757,14744.384615384615,14896.083333333334,14834.316884397655,13
11,2020-5,21131,Leslie,Kentucky,10334,14719.307692307691,14825.416666666666,14785.127993801072,13
12,2020-5,21151,Madison,Kentucky,91226,14750.214285714286,14924.214285714286,14829.373748473748,15
13,2020-5,20135,Ness,Kansas,2869,15158.684210526315,15250.5,15213.089738790251,35
14,2020-5,20199,Wallace,Kansas,1524,15239.0,15343.6,15295.290693173974,30
15,2020-5,48011,Armstrong,Texas,1879,15411.041666666666,15679.7,15575.362167795973,30
16,2020-5,21155,Marion,Kentucky,19395,14778.166666666666,14923.166666666666,14839.426823176824,11
17,2020-5,21179,Nelson,Kentucky,45640,14715.0,14889.176470588236,14818.738205487323,15
18,2020-5,17091,Kankakee,Illinois,109605,14732.6875,14902.461538461539,14824.803373759176,28
19,2020-5,17197,Will,Illinois,692661,14721.92857142857,14905.461538461539,14809.200807217474,27
20,2020-5,18027,Daviess,Indiana,33113,14772.42857142857,14940.357142857143,14854.723343323343,12
21,2020-5,29199,Scotland,Missouri,4963,14713.666666666666,14822.222222222223,14774.282903439153,12
22,2020-5,29207,Stoddard,Missouri,29369,14702.176470588236,14977.363636363636,14855.24185783313,23
23,2020-5,30015,Chouteau,Montana,5765,14505.368421052632,15166.235294117647,14935.003449867003,159
24,2020-5,30023,Deer Lodge,Montana,9106,13894.272727272728,14882.777777777777,14295.445645618705,27
25,2020-5,30029,Flathead,Montana,100000,13737.714285714286,14830.666666666666,14240.958742877028,200
26,2020-5,30039,Granite,Montana,3358,13878.875,14760.777777777777,14292.407707284778,66
27,2020-5,48463,Uvalde,Texas,27132,15115.235294117647,15448.25,15282.827654071074,42
28,2020-5,18061,Harrison,Indiana,39898,14696.466666666667,14904.733333333334,14806.612192360497,16
29,2020-5,30071,Phillips,Montana,4119,14648.55,15203.222222222223,14965.169920752793,194
30,2020-5,20077,Harper,Kansas,5590,14987.444444444445,15151.625,15074.595729775829,24
31,2020-5,20123,Mitchell,Kansas,6128,14703.0,15088.666666666666,14997.473803973802,18
32,2020-5,01001,Autauga,Alabama,55504,14926.95652173913,15115.952380952382,15016.337411276612,19
33,2020-5,01005,Barbour,Alabama,25270,14924.15,15071.421052631578,14984.41432748538,27
34,2020-5,24003,Anne Arundel,Maryland,573235,14604.9375,14814.0,14717.816565934065,15
35,2020-5,18103,Miami,Indiana,35845,14794.785714285714,14918.833333333334,14860.72279541446,9
36,2020-5,01023,Choctaw,Alabama,12945,14835.5,14942.888888888889,14895.002653128508,29
37,2020-5,19001,Adair,Iowa,7054,14768.09090909091,14924.8,14842.259747474749,20
38,2020-5,56011,Crook,Wyoming,7410,14547.066666666668,15070.9375,14855.57292876371,108
39,2020-5,01035,Conecuh,Alabama,12469,14983.15,15121.1875,15043.196076042505,27
40,2020-5,01051,Elmore,Alabama,81677,14774.826086956522,15104.47619047619,14950.102529071433,23
41,2020-5,01055,Etowah,Alabama,102755,14824.65,14967.714285714286,14872.73834425078,20
42,2020-5,20085,Jackson,Kansas,13318,14806.076923076924,14920.7,14866.373490561724,17
43,2020-5,01065,Hale,Alabama,14812,14830.347826086956,15034.782608695652,14913.996541832183,18
44,2020-5,19169,Story,Iowa,97502,14809.9,14981.636363636364,14898.689058441558,20
45,2020-5,01089,Madison,Alabama,361046,14799.875,15071.578947368422,14937.746754959295,27
46,2020-5,01113,Russell,Alabama,57045,14896.35,15197.0,14990.010631842766,19
47,2020-5,05115,Pope,Arkansas,63835,14675.941176470587,14902.538461538461,14795.555228943376,26
48,2020-5,01117,Shelby,Alabama,213605,14837.095238095239,15060.588235294117,14926.726102276732,25
49,2020-5,05011,Bradley,Arkansas,10864,14825.588235294117,14900.941176470587,14859.662623593298,20
50,2020-5,05015,Carroll,Arkansas,27944,14642.0,14894.222222222223,14762.950375242042,18
51,2020-5,05019,Clark,Arkansas,22293,14780.764705882353,14919.142857142857,14844.306469479923,29
52,2020-5,01037,Coosa,Alabama,10754,14826.083333333334,14927.809523809523,14882.492189788785,23
53,2020-5,05025,Cleveland,Arkansas,8202,14805.117647058823,14867.333333333334,14833.54566205137,18
54,2020-5,08073,Lincoln,Colorado,5546,15233.333333333334,15725.818181818182,15440.980834469938,87
55,2020-5,19189,Winnebago,Iowa,10587,14832.416666666666,15153.888888888889,15030.14702020202,10
56,2020-5,05063,Independence,Arkansas,37504,14700.666666666666,14920.07142857143,14803.049760217853,26
57,2020-5,08101,Pueblo,Colorado,166475,14805.25,15967.347826086956,15679.884581510021,81
58,2020-5,05067,Jackson,Arkansas,17135,14767.5,14953.416666666666,14886.357176376256,19
59,2020-5,08121,Washington,Colorado,4938,15150.333333333334,15430.555555555555,15273.865404105192,90
60,2020-5,20001,Allen,Kansas,12519,14780.461538461539,14871.555555555555,14820.501331604903,14
61,2020-5,05121,Randolph,Arkansas,17557,14755.545454545454,14925.23076923077,14830.525796425796,20
62,2020-5,08125,Yuma,Colorado,10075,15050.130434782608,15382.684210526315,15223.156823574087,75
63,2020-5,20009,Barton,Kansas,26476,14957.75,15169.375,15076.262805010892,30
64,2020-5,06001,Alameda,California,1663190,14942.95,15741.4375,15297.39660491552,27
65,2020-5,29203,Shannon,Missouri,8249,14702.066666666668,14817.0,14745.2698024198,33
66,2020-5,06003,Alpine,California,1120,14281.2,15125.76,14656.350415058743,26
67,2020-5,06005,Amador,California,38626,14457.826086956522,15377.0,15023.665334415584,20
68,2020-5,06013,Contra Costa,California,1147439,14994.78947368421,15712.8125,15341.99853724706,27
69,2020-5,06019,Fresno,California,989255,14066.592592592593,15990.272727272728,15191.476495430421,192
70,2020-5,06023,Humboldt,California,136754,14315.642857142857,14818.368421052632,14561.984923319571,128
71,2020-5,06033,Lake,California,64246,14643.166666666666,15358.444444444445,14998.238580292655,43
72,2020-5,06037,Los Angeles,California,10163507,14978.583333333334,15952.78947368421,15438.900238114735,134
73,2020-5,06047,Merced,California,272673,15206.76,15902.65,15526.325457768153,64
74,2020-5,06057,Nevada,California,99814,14272.434782608696,15185.904761904761,14796.987752390038,29
75,2020-5,31035,Clay,Nebraska,6205,14930.4375,15208.076923076924,15111.204286912132,20
76,2020-5,06081,San Mateo,California,771410,14630.304347826086,15243.952380952382,14798.15167969536,17
77,2020-5,06085,Santa Clara,California,1938153,14728.454545454546,15494.4,15176.097303176004,42
78,2020-5,06115,Yuba,California,77031,14638.761904761905,15517.761904761905,15113.722058486568,23
79,2020-5,48253,Jones,Texas,19983,15377.238095238095,15603.857142857143,15504.04998902064,30
80,2020-5,08013,Boulder,Colorado,322514,14019.92,15270.92,14830.190465827449,24
81,2020-5,31037,Colfax,Nebraska,10585,14971.09090909091,15246.333333333334,15091.510170905483,16
82,2020-5,08029,Delta,Colorado,30568,14028.777777777777,15694.461538461539,15198.24365340156,39
83,2020-5,08049,Grand,Colorado,15321,13998.869565217392,15179.703703703704,14538.811335038677,65
84,2020-5,20015,Butler,Kansas,66878,14834.625,15118.07142857143,15000.130742521369,48
85,2020-5,08077,Mesa,Colorado,151616,14121.307692307691,15839.09090909091,15191.331840125496,106
86,2020-5,08083,Montezuma,Colorado,26140,14419.111111111111,15983.67857142857,15358.719915464151,67
87,2020-5,20025,Clark,Kansas,2004,15088.65,15314.40909090909,15221.317553923818,30
88,2020-5,08091,Ouray,Colorado,4794,14230.76923076923,15349.62962962963,14933.748431441853,19
89,2020-5,09009,New Haven,Connecticut,860435,14602.235294117647,14825.263157894737,14692.412165435482,23
