,date,geoid,county_nam,state_name,population,min,max,mean,count
0,aver-age,21007,Ballard,Kentucky,8039,14041.865384615385,14204.047619047618,14123.532139671028,9
1,aver-age,17187,Warren,Illinois,17167,13885.59829059829,14003.926406926408,13937.044566775821,20
2,aver-age,20073,Greenwood,Kansas,6123,14205.694017094016,14292.979853479852,14250.285058895353,38
3,aver-age,21017,Bourbon,Kentucky,20029,14172.202645502644,14204.259259259261,14189.096413540163,8
4,aver-age,21031,Butler,Kentucky,12831,14153.84632034632,14205.208333333334,14182.229411329412,13
5,aver-age,26119,Montmorency,Michigan,9250,13473.014814814815,13666.02962962963,13570.278282828283,20
6,aver-age,21065,Estill,Kentucky,14277,14125.01164021164,14194.046717171717,14158.195452827596,7
7,aver-age,21069,Fleming,Kentucky,14446,14063.567460317461,14164.894660894663,14120.069211596485,11
8,aver-age,20095,Kingman,Kansas,7360,14230.015476190476,14306.159663865546,14270.387764496827,28
9,aver-age,21093,Hardin,Kentucky,108071,14084.344444444447,14222.870033670033,14163.104894179894,21
10,aver-age,21099,Hart,Kentucky,18757,14125.866666666667,14185.812037037036,14156.013435638439,13
11,aver-age,21131,Leslie,Kentucky,10334,14033.402597402599,14136.022222222222,14092.403061753063,13
12,aver-age,21151,Madison,Kentucky,91226,14111.92857142857,14227.111111111111,14177.315658970658,15
13,aver-age,20135,Ness,Kansas,2869,14220.153452685423,14313.291562238928,14252.589747524717,35
14,aver-age,20199,Wallace,Kansas,1524,14251.005582137159,14415.675363622731,14322.246819227126,30
15,aver-age,48011,Armstrong,Texas,1879,14452.907575757577,14592.401960784313,14487.340116539886,30
16,aver-age,21155,Marion,Kentucky,19395,14106.712542087544,14197.718518518517,14148.072681359043,11
17,aver-age,21179,Nelson,Kentucky,45640,14076.766666666668,14173.158249158247,14146.475863395865,15
18,aver-age,17091,Kankakee,Illinois,109605,13840.1,13954.708333333334,13887.008606605037,28
19,aver-age,17197,Will,Illinois,692661,13804.651515151514,13905.774074074076,13848.92895845581,27
