,date,geoid,county_nam,state_name,population,min,max,mean,count
0,2021-9,21007,Ballard,Kentucky,8039,14932.42857142857,15054.5,14988.66943935694,9
1,2021-9,17187,Warren,Illinois,17167,14932.388888888889,15057.29411764706,14988.686291709664,20
2,2021-9,20073,Greenwood,Kansas,6123,15098.55,15224.421052631578,15142.901767576835,38
3,2021-9,21017,Bourbon,Kentucky,20029,14820.09090909091,14915.2,14880.377272727272,8
4,2021-9,21031,Butler,Kentucky,12831,14824.92857142857,14904.545454545454,14863.080171110942,13
5,2021-9,26119,Montmorency,Michigan,9250,14482.263157894737,14607.133333333333,14555.288190574473,20
6,2021-9,21065,Estill,Kentucky,14277,14726.4375,14863.538461538461,14797.05915096808,7
7,2021-9,21069,Fleming,Kentucky,14446,14784.785714285714,14900.75,14847.87494172494,11
8,2021-9,20095,Kingman,Kansas,7360,15247.421052631578,15455.21052631579,15319.858593788393,28
9,2021-9,21093,Hardin,Kentucky,108071,14816.846153846154,14953.615384615385,14881.438667681525,21
10,2021-9,21099,Hart,Kentucky,18757,14805.785714285714,14926.166666666666,14863.084150464918,13
11,2021-9,21131,Leslie,Kentucky,10334,14688.066666666668,14800.785714285714,14737.491177368383,13
12,2021-9,21151,Madison,Kentucky,91226,14734.875,14970.363636363636,14859.90192862693,15
13,2021-9,20135,Ness,Kansas,2869,15270.95,15466.21052631579,15351.250523277891,35
14,2021-9,20199,Wallace,Kansas,1524,15265.84,15534.6,15393.352598848012,30
15,2021-9,48011,Armstrong,Texas,1879,15412.347826086956,15556.045454545454,15480.683163533007,30
16,2021-9,21155,Marion,Kentucky,19395,14800.466666666667,14925.92857142857,14858.194605394605,11
17,2021-9,21179,Nelson,Kentucky,45640,14806.066666666668,14927.166666666666,14869.638497890997,15
18,2021-9,17091,Kankakee,Illinois,109605,14947.066666666668,15071.857142857143,15026.276190476188,28
19,2021-9,17197,Will,Illinois,692661,14948.823529411764,15165.214285714286,15058.707788770782,27
20,2021-9,18027,Daviess,Indiana,33113,14923.411764705883,15073.333333333334,15008.933885776532,12
21,2021-9,29199,Scotland,Missouri,4963,14945.238095238095,14976.952380952382,14958.810206070732,12
22,2021-9,29207,Stoddard,Missouri,29369,14924.333333333334,15113.846153846154,15025.917642647917,23
23,2021-9,30015,Chouteau,Montana,5765,14762.35294117647,15310.235294117647,15194.305198386657,159
24,2021-9,30023,Deer Lodge,Montana,9106,14451.0,15084.652173913044,14705.612269968356,27
25,2021-9,30029,Flathead,Montana,100000,14164.947368421053,15155.78947368421,14515.711624146988,200
26,2021-9,30039,Granite,Montana,3358,14376.96,15056.782608695652,14706.561495782435,66
27,2021-9,48463,Uvalde,Texas,27132,15232.736842105263,15563.157894736842,15409.13343714147,42
28,2021-9,18061,Harrison,Indiana,39898,14817.5,14914.833333333334,14868.174113034638,16
29,2021-9,30071,Phillips,Montana,4119,14912.947368421053,15365.8125,15222.549205885474,194
30,2021-9,20077,Harper,Kansas,5590,15282.055555555555,15458.29411764706,15351.681265049881,24
31,2021-9,20123,Mitchell,Kansas,6128,14954.166666666666,15306.0,15198.168318809003,18
32,2021-9,01001,Autauga,Alabama,55504,14928.833333333334,15029.09090909091,14976.153386087599,19
33,2021-9,01005,Barbour,Alabama,25270,14917.285714285714,15037.75,14993.767941934608,27
34,2021-9,24003,Anne Arundel,Maryland,573235,14860.052631578947,15013.2,14925.292984938464,15
35,2021-9,18103,Miami,Indiana,35845,14946.866666666667,14986.846153846154,14963.662678062676,9
36,2021-9,01023,Choctaw,Alabama,12945,14859.461538461539,14949.866666666667,14913.644068051623,29
37,2021-9,19001,Adair,Iowa,7054,14985.0,15048.4375,15016.7625,20
38,2021-9,56011,Crook,Wyoming,7410,14749.57142857143,15533.25,15234.124746226447,108
39,2021-9,01035,Conecuh,Alabama,12469,14905.57142857143,15021.375,14974.32108519053,27
40,2021-9,01051,Elmore,Alabama,81677,14862.538461538461,15035.76923076923,14939.9891470848,23
41,2021-9,01055,Etowah,Alabama,102755,14838.307692307691,14995.0,14918.038058608057,20
42,2021-9,20085,Jackson,Kansas,13318,15104.9375,15298.666666666666,15205.583909781662,17
43,2021-9,01065,Hale,Alabama,14812,14881.066666666668,15022.0,14954.659034484033,18
44,2021-9,19169,Story,Iowa,97502,14974.1875,15089.5,15044.11295751634,20
45,2021-9,01089,Madison,Alabama,361046,14890.941176470587,15141.133333333333,15006.476254020126,27
46,2021-9,01113,Russell,Alabama,57045,14937.642857142857,15175.363636363636,14989.994851639587,19
47,2021-9,05115,Pope,Arkansas,63835,14816.947368421053,15204.176470588236,15031.03443875526,26
48,2021-9,01117,Shelby,Alabama,213605,14878.846153846154,15065.75,14956.012879120879,25
49,2021-9,05011,Bradley,Arkansas,10864,15009.42857142857,15136.75,15056.033120421245,20
50,2021-9,05015,Carroll,Arkansas,27944,14956.0,15213.0,15063.238887114301,18
51,2021-9,05019,Clark,Arkansas,22293,15058.25,15204.0,15118.358993305545,29
52,2021-9,01037,Coosa,Alabama,10754,14866.166666666666,14941.636363636364,14913.269894598156,23
53,2021-9,05025,Cleveland,Arkansas,8202,15026.0,15106.363636363636,15060.265513884262,18
54,2021-9,08073,Lincoln,Colorado,5546,15341.125,15589.92,15458.205315466334,87
55,2021-9,19189,Winnebago,Iowa,10587,14897.75,14956.92857142857,14920.23523809524,10
56,2021-9,05063,Independence,Arkansas,37504,15056.75,15246.875,15135.70983617131,26
57,2021-9,08101,Pueblo,Colorado,166475,14959.833333333334,15688.416666666666,15548.405012700465,81
58,2021-9,05067,Jackson,Arkansas,17135,15038.166666666666,15162.0,15097.970966585015,19
59,2021-9,08121,Washington,Colorado,4938,15222.5,15656.454545454546,15433.5466395549,90
60,2021-9,20001,Allen,Kansas,12519,15026.047619047618,15107.777777777777,15074.523848311253,14
61,2021-9,05121,Randolph,Arkansas,17557,15005.70588235294,15097.8,15045.479808320762,20
62,2021-9,08125,Yuma,Colorado,10075,15214.0,15484.75,15336.177016553242,75
63,2021-9,20009,Barton,Kansas,26476,15068.190476190477,15294.70588235294,15199.01337827635,30
64,2021-9,06001,Alameda,California,1663190,15017.304347826086,15694.64,15428.481555368946,27
65,2021-9,29203,Shannon,Missouri,8249,14894.714285714286,15165.875,14977.33407058628,33
66,2021-9,06003,Alpine,California,1120,14871.222222222223,15466.038461538461,15068.200188472496,26
67,2021-9,06005,Amador,California,38626,14978.76923076923,15643.666666666666,15362.033857302118,20
68,2021-9,06013,Contra Costa,California,1147439,15058.76,15746.75,15409.585003882323,27
69,2021-9,06019,Fresno,California,989255,14677.62962962963,16067.695652173914,15391.611636220166,192
70,2021-9,06023,Humboldt,California,136754,14519.388888888889,15117.25,14845.128463968678,128
71,2021-9,06033,Lake,California,64246,14978.391304347826,15753.0,15378.690796160361,43
72,2021-9,06037,Los Angeles,California,10163507,15154.555555555555,16040.84,15599.495111624263,134
